,waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
11594,22/03/18 09.10,0.3,327.5,26.5,78.8,1005.6,7.2,61.6
11595,22/03/18 09.20,0.5,307.4,26.8,79.2,1005.8,7.2,65.4
11596,22/03/18 09.30,0.4,311.5,27,78.2,1005.8,7.2,64.5
11597,22/03/18 09.40,0.25,166.85,27,79.1,1005.8,7.2,64.55
11598,22/03/18 09.50,0.1,22.2,27,80,1005.8,7.2,64.6
11599,22/03/18 10.00,0.2,37.1,27.2,80,1005.9,7.2,52.1
11600,22/03/18 10.10,0.2,52,27.2,81.3,1006,7.2,38.1
11601,22/03/18 10.20,0.5,59,27,80.1,1006.1,7.2,35.2
11602,22/03/18 10.30,0.4,52.7,27.1,78.6,1006.2,7.2,30.2
11603,22/03/18 10.40,0.3,72.3,27,80.8,1006.2,7.2,18.6
11604,22/03/18 10.50,0.3,41.7,27,80.5,1006.1,7.2,11.9
11605,22/03/18 11.00,0.9,111.8,27.1,78.8,1006.3,7.2,3.7
11606,22/03/18 11.10,0.1,21.2,27,78.2,1006.4,7.2,0.7
11607,22/03/18 11.20,0.1,19.1,26.6,79.5,1006.5,7.2,0.9
11608,22/03/18 11.30,0.9,100,26.7,81.8,1006.4,7.2,1.2
11609,22/03/18 11.40,0.3,59.1,26.6,83.9,1006.5,7.2,0.3
11610,22/03/18 11.50,0,10.3,26.5,85.1,1006.6,7.2,1.7
11611,22/03/18 12.00,0.1,35.6,26.3,85.6,1006.8,7.2,1.1
11612,22/03/18 12.10,0.8,97.9,26.3,85.3,1006.9,7.2,0.9
11613,22/03/18 12.20,0.4,75.3,26.3,85.5,1007.1,7.2,1.6
11614,22/03/18 12.30,0.4,74.1,26.35,85.4,1007.3,7.2,1.45
11615,22/03/18 12.40,0.4,72.9,26.4,85.3,1007.5,7.2,1.3
11616,22/03/18 12.50,0.3,43.9,26.3,85.6,1007.7,7.2,2.1
11617,22/03/18 13.00,0.3,48.8,26.3,85.8,1007.8,7.2,0.6
11618,22/03/18 13.10,0.65,79.4,26.25,86.1,1007.9,7.2,1.1
11619,22/03/18 13.20,1,110,26.2,86.4,1008,7.2,1.6
11620,22/03/18 13.30,0.3,52.1,26.2,86.8,1008.1,7.2,1
11621,22/03/18 13.40,0.3,61.7,26.1,87.3,1008.3,7.2,1.4
11622,22/03/18 13.50,0.3,56.1,26,88.2,1008.1,7.2,1.4
11623,22/03/18 14.00,0.9,109.8,26,88.2,1008.2,7.2,1.6
11624,22/03/18 14.10,0.7,93.5,25.9,88,1008.2,7.2,0.8
11625,22/03/18 14.20,0.4,63.5,25.9,88.5,1008.1,7.2,0.5
11626,22/03/18 14.30,0.5,84.1,25.8,88.8,1008.2,7.2,1.3
11627,22/03/18 14.40,0.4,49.3,25.7,89.3,1008.1,7.2,1.5
11628,22/03/18 14.50,0.2,53.4,25.6,89.4,1008,7.2,1.1
11629,22/03/18 15.00,0.4,46.2,25.6,88.9,1008.1,7.2,1.9
11630,22/03/18 15.10,0.4,45.9,25.8,87.8,1008.3,7.2,0.9
11631,22/03/18 15.20,0.8,84.9,25.8,87.5,1008.2,7.2,0.8
11632,22/03/18 15.30,0.2,40.5,25.6,87.9,1008.3,7.2,2
11633,22/03/18 15.40,0,9.3,25.4,88.3,1008.4,7.2,1.6
11634,22/03/18 15.50,0,0,25.3,88.8,1008.3,7.2,0.9
11635,22/03/18 16.00,0,10.1,25.2,89.5,1008.3,7.2,0.9
11636,22/03/18 16.10,0,0,25.2,90,1008.4,7.2,2.2
11637,22/03/18 16.20,0,14.4,25.1,90,1008.2,7.2,1.4
11638,22/03/18 16.30,0.1,356.1,25.1,88.8,1008.1,7.2,1.2
11639,22/03/18 16.40,0,0,25.1,87.8,1008,7.2,1.2
11640,22/03/18 16.50,0,0,25,88.5,1008.2,7.2,1.1
11641,22/03/18 17.00,0,0,25,88.6,1008.2,7.2,1.3
11642,22/03/18 17.10,0,0,25,89,1008.2,7.2,1.1
11643,22/03/18 17.20,0,10,24.9,89.5,1008.2,7.2,0.8
11644,22/03/18 17.30,0,0,24.8,90,1007.9,7.2,1
11645,22/03/18 17.40,0,10.6,24.8,90.5,1008.1,7.2,1.4
11646,22/03/18 17.50,0,0,24.8,90.2,1007.8,7.2,1.1
11647,22/03/18 18.00,0.3,309,25.1,89.8,1007.9,7.2,1
11648,22/03/18 18.10,0,0,25.4,89.1,1008.2,7.2,1.2
11649,22/03/18 18.20,0,9,25.3,89.9,1008,7.2,1.3
11650,22/03/18 18.30,0,10.8,25.2,90.7,1008.1,7.2,2
11651,22/03/18 18.40,0,20.5,25.1,90.2,1008,7.2,1.2
11652,22/03/18 18.50,0,0,25.1,89.8,1007.8,7.2,1.3
11653,22/03/18 19.00,0,0,25.2,89.6,1007.6,7.2,0.7
11654,22/03/18 19.10,0,8.5,25.2,88.8,1007.5,7.2,1
11655,22/03/18 19.20,0,1.2,25.2,89.5,1007.4,7.2,1
11656,22/03/18 19.30,0,14.4,25.2,89.9,1007.4,7.2,1
11657,22/03/18 19.40,0.1,29.4,25.3,89.2,1007.2,7.2,1
11658,22/03/18 19.50,0.1,353.2,25.4,86.1,1007.5,7.2,1
11659,22/03/18 20.00,0.3,311.2,25.9,81.2,1007.6,7.2,0.4
11660,22/03/18 20.10,0.4,288.8,26,80.9,1007.6,7.2,1.1
11661,22/03/18 20.20,1.3,210,26.3,76.4,1007.8,7.2,0.7
11662,22/03/18 20.30,1.1,214.3,26.5,75.3,1008.1,7.2,1.5
11663,22/03/18 20.40,1.3,225.3,26.5,75.3,1007.9,7.2,1
11664,22/03/18 20.50,1.2,247.6,26.4,75.4,1007.7,7.2,0.8
11665,22/03/18 21.00,0.5,297.1,26.3,76.3,1008,7.2,1
