unit,cycle,temp,rh,pressure,ws,wd,ch,solrad,status
3,18,29.41,71.47,999.75,0.98,172.41,0,140.66,suspect
3,19,27.96,73.78,989.69,1.05,133.95,0,140.03,suspect
3,20,28.34,70.85,986.94,1.02,111.26,0,127.8,suspect
3,21,28.7,71.43,987.14,1.28,120.53,0,102.63,good
3,22,29.79,70.7,1007.45,1.54,86.3,0.19,157.59,suspect
3,23,27.87,78.56,1001.6,0.99,88.98,2.55,77.42,suspect
3,24,29.14,71.65,1000.81,0.77,96.69,0.02,136.31,suspect
3,25,27.87,82.15,1007.85,0.69,66.34,0.69,57.37,suspect
3,26,29.67,69.13,1001.03,0.9,82.61,0,139.52,suspect
3,27,29.48,71.42,1008.8,1.05,249.07,0,126.17,suspect
3,28,29.39,73.58,1008.84,1.09,197.85,0,125.73,good
3,29,29.54,69.14,1008.58,0.8,94.34,0,134.92,suspect
3,30,29.72,69.8,1009.05,1.04,220.69,0,148.4,good
3,31,26.8,77.8,1009.95,0.2,198.37,0,26.09,suspect
