waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
6/2/2019 13.40.00,1.7,155.3,27.2,77.9,1010.7,0.0,0.2
6/2/2019 13.50.00,1.5,140.6,27.2,78.0,1010.9,0.0,0.2
6/2/2019 14.00.00,,,,,,,
6/2/2019 14.10.00,1.1,128.3,27.0,77.2,1011.2,0.0,0.1
6/2/2019 14.20.00,1.4,122.8,27.1,76.8,1011.2,0.0,0.1
6/2/2019 14.30.00,1.0,149.8,27.2,76.4,1011.2,0.0,0.0
6/2/2019 14.40.00,0.2,57.2,27.3,76.7,1011.4,0.0,0.1
6/2/2019 14.50.00,0.6,49.7,27.4,74.9,1011.4,0.0,0.1
6/2/2019 15.00.00,0.3,56.7,27.5,74.2,1011.3,0.0,0.2
6/2/2019 15.10.00,0.4,72.9,27.6,74.5,1011.4,0.0,0.1
6/2/2019 15.20.00,0.2,44.4,27.6,73.5,1011.4,0.0,0.2
6/2/2019 15.30.00,,,,,,,
6/2/2019 15.40.00,0.5,94.5,27.6,73.9,1011.3,0.0,0.2
6/2/2019 15.50.00,0.1,26.5,27.6,74.0,1011.2,0.0,0.1
6/2/2019 16.00.00,0.7,270.8,27.6,73.9,1011.2,0.0,0.1
6/2/2019 16.10.00,1.6,260.5,27.9,72.8,1011.3,0.0,0.2
6/2/2019 16.20.00,2.8,257.9,27.3,75.7,1011.2,0.0,0.1
6/2/2019 16.30.00,1.6,270.8,27.1,78.4,1011.2,0.0,0.2
6/2/2019 16.40.00,1.1,309.4,27.0,79.4,1011.2,0.0,0.1
6/2/2019 16.50.00,2.3,246.9,26.9,79.4,1011.0,0.0,0.2
6/2/2019 17.00.00,1.1,301.7,26.9,79.7,1010.9,0.0,0.2
6/2/2019 17.10.00,,,,,,,
6/2/2019 17.20.00,1.4,311.3,26.8,81.2,1010.9,0.0,0.2
6/2/2019 17.30.00,1.6,284.6,26.7,81.1,1011.0,0.0,0.2
6/2/2019 17.40.00,,,,,,,
6/2/2019 17.50.00,1.7,280.7,26.8,79.3,1010.9,0.0,0.1
6/2/2019 18.00.00,1.0,305.2,27.0,78.9,1010.9,0.0,0.1
6/2/2019 18.10.00,1.3,271.1,27.1,79.1,1010.8,0.0,0.2
6/2/2019 18.20.00,0.9,302.3,27.0,79.0,1010.7,0.0,0.2
6/2/2019 18.30.00,1.1,312.2,27.0,78.6,1010.6,0.0,0.0
6/2/2019 18.40.00,1.2,325.7,27.0,78.5,1010.6,0.0,0.1
6/2/2019 18.50.00,,,,,,,
6/2/2019 19.00.00,1.9,276.0,26.9,79.2,1010.2,0.0,0.2
